outlet_id,conflict_id,mention_count,leader,context
95,1,701.0,Putin,overall
95,14,47.0,Putin,overall
96,1,335.0,Putin,overall
96,14,24.0,Putin,overall
97,1,318.0,Putin,overall
97,14,7.0,Putin,overall
98,1,656.0,Putin,overall
98,14,14.0,Putin,overall
99,1,482.0,Putin,overall
99,14,33.0,Putin,overall
100,1,21.0,Putin,overall
100,14,0.0,Putin,overall
101,1,1.0,Putin,overall
101,14,0.0,Putin,overall
102,1,519.0,Putin,overall
102,14,28.0,Putin,overall
103,1,658.0,Putin,overall
103,14,30.0,Putin,overall
104,1,12.0,Putin,overall
104,14,15.0,Putin,overall
105,1,579.0,Putin,overall
105,14,4.0,Putin,overall
106,1,117.0,Putin,overall
106,14,27.0,Putin,overall
108,1,812.0,Putin,overall
108,14,15.0,Putin,overall
1,1,377.0,Putin,death_reporting
1,14,16.0,Putin,death_reporting
2,1,73.0,Putin,death_reporting
2,14,17.0,Putin,death_reporting
3,1,430.0,Putin,death_reporting
3,14,13.0,Putin,death_reporting
4,1,174.0,Putin,death_reporting
4,14,16.0,Putin,death_reporting
5,1,258.0,Putin,death_reporting
5,14,10.0,Putin,death_reporting
6,1,409.0,Putin,death_reporting
6,14,29.0,Putin,death_reporting
7,1,375.0,Putin,death_reporting
7,14,6.0,Putin,death_reporting
8,1,285.0,Putin,death_reporting
8,14,12.0,Putin,death_reporting
9,1,264.0,Putin,death_reporting
9,14,19.0,Putin,death_reporting
10,1,220.0,Putin,death_reporting
10,14,29.0,Putin,death_reporting
11,14,0.0,Putin,death_reporting
12,1,35.0,Putin,death_reporting
12,14,6.0,Putin,death_reporting
13,1,366.0,Putin,death_reporting
13,14,46.0,Putin,death_reporting
14,1,339.0,Putin,death_reporting
14,14,1.0,Putin,death_reporting
15,1,64.0,Putin,death_reporting
15,14,0.0,Putin,death_reporting
16,1,298.0,Putin,death_reporting
16,14,17.0,Putin,death_reporting
17,1,29.0,Putin,death_reporting
17,14,19.0,Putin,death_reporting
18,1,384.0,Putin,death_reporting
18,14,28.0,Putin,death_reporting
19,1,342.0,Putin,death_reporting
19,14,9.0,Putin,death_reporting
20,1,224.0,Putin,death_reporting
20,14,3.0,Putin,death_reporting
21,1,323.0,Putin,death_reporting
21,14,11.0,Putin,death_reporting
22,1,406.0,Putin,death_reporting
22,14,12.0,Putin,death_reporting
23,1,397.0,Putin,death_reporting
23,14,11.0,Putin,death_reporting
24,1,211.0,Putin,death_reporting
24,14,11.0,Putin,death_reporting
25,1,294.0,Putin,death_reporting
25,14,19.0,Putin,death_reporting
26,1,409.0,Putin,death_reporting
26,14,55.0,Putin,death_reporting
27,1,228.0,Putin,death_reporting
27,14,10.0,Putin,death_reporting
28,1,256.0,Putin,death_reporting
28,14,12.0,Putin,death_reporting
29,1,254.0,Putin,death_reporting
29,14,14.0,Putin,death_reporting
30,1,324.0,Putin,death_reporting
30,14,3.0,Putin,death_reporting
31,1,178.0,Putin,death_reporting
31,14,3.0,Putin,death_reporting
32,1,0.0,Putin,death_reporting
32,14,6.0,Putin,death_reporting
33,1,309.0,Putin,death_reporting
33,14,11.0,Putin,death_reporting
34,1,214.0,Putin,death_reporting
34,14,1.0,Putin,death_reporting
35,1,281.0,Putin,death_reporting
